Input,Action
show me the date and time and preview all notes,show_date_time - show_all_notes
show me the date and time and remove all notes,show_date_time - delete_all_notes
show me the date and time and delete all notes,show_date_time - delete_all_notes
date and time and what to watch in movie,show_date_time - suggest movie
date and time and tell me what to watch,show_date_time - suggest movie
date and time and suggest a movie,show_date_time - suggest movie
date and time and what to watch in movie,show_date_time - suggest movie
date and time and tell me what to watch,show_date_time - suggest movie
date and time and suggest a movie,show_date_time - suggest movie
date and time and recommend me a movie,show_date_time - suggest movie
date and time and show me last note,show_date_time - last_saved_note
date and time and last note,show_date_time - last_saved_note
date and time and last saved note,show_date_time - last_saved_note
date and time and show me all notes,show_date_time - show_all_notes
date and time and preview all notes,show_date_time - show_all_notes
date and time and remove all notes,show_date_time - delete_all_notes
date and time and delete all notes,show_date_time - delete_all_notes
what is the date and time and what to watch in movie,show_date_time - suggest movie
what is the date and time and tell me what to watch,show_date_time - suggest movie
what is the date and time and suggest a movie,show_date_time - suggest movie
what is the date and time and what to watch in movie,show_date_time - suggest movie
what is the date and time and tell me what to watch,show_date_time - suggest movie
what is the date and time and suggest a movie,show_date_time - suggest movie
what is the date and time and recommend me a movie,show_date_time - suggest movie
what is the date and time and show me last note,show_date_time - last_saved_note
what is the date and time and last note,show_date_time - last_saved_note
what is the date and time and last saved note,show_date_time - last_saved_note
what is the date and time and show me all notes,show_date_time - show_all_notes
what is the date and time and preview all notes,show_date_time - show_all_notes
what is the date and time and remove all notes,show_date_time - delete_all_notes
what is the date and time and delete all notes,show_date_time - delete_all_notes
what to watch in movie and show me last note,suggest movie - last_saved_note
what to watch in movie and last note,suggest movie - last_saved_note
what to watch in movie and last saved note,suggest movie - last_saved_note
what to watch in movie and show me all notes,suggest movie - show_all_notes
what to watch in movie and preview all notes,suggest movie - show_all_notes
what to watch in movie and remove all notes,suggest movie - delete_all_notes
what to watch in movie and delete all notes,suggest movie - delete_all_notes
tell me what to watch and show me last note,suggest movie - last_saved_note
tell me what to watch and last note,suggest movie - last_saved_note
tell me what to watch and last saved note,suggest movie - last_saved_note
tell me what to watch and show me all notes,suggest movie - show_all_notes
tell me what to watch and preview all notes,suggest movie - show_all_notes
tell me what to watch and remove all notes,suggest movie - delete_all_notes
tell me what to watch and delete all notes,suggest movie - delete_all_notes
suggest a movie and show me last note,suggest movie - last_saved_note
suggest a movie and last note,suggest movie - last_saved_note
suggest a movie and last saved note,suggest movie - last_saved_note
suggest a movie and show me all notes,suggest movie - show_all_notes
suggest a movie and preview all notes,suggest movie - show_all_notes
suggest a movie and remove all notes,suggest movie - delete_all_notes
suggest a movie and delete all notes,suggest movie - delete_all_notes
what to watch in movie and show me last note,suggest movie - last_saved_note
what to watch in movie and last note,suggest movie - last_saved_note
what to watch in movie and last saved note,suggest movie - last_saved_note
what to watch in movie and show me all notes,suggest movie - show_all_notes
what to watch in movie and preview all notes,suggest movie - show_all_notes
what to watch in movie and remove all notes,suggest movie - delete_all_notes
what to watch in movie and delete all notes,suggest movie - delete_all_notes
tell me what to watch and show me last note,suggest movie - last_saved_note
tell me what to watch and last note,suggest movie - last_saved_note
tell me what to watch and last saved note,suggest movie - last_saved_note
tell me what to watch and show me all notes,suggest movie - show_all_notes
tell me what to watch and preview all notes,suggest movie - show_all_notes
tell me what to watch and remove all notes,suggest movie - delete_all_notes
tell me what to watch and delete all notes,suggest movie - delete_all_notes
suggest a movie and show me last note,suggest movie - last_saved_note
suggest a movie and last note,suggest movie - last_saved_note
suggest a movie and last saved note,suggest movie - last_saved_note
suggest a movie and show me all notes,suggest movie - show_all_notes
suggest a movie and preview all notes,suggest movie - show_all_notes
suggest a movie and remove all notes,suggest movie - delete_all_notes
suggest a movie and delete all notes,suggest movie - delete_all_notes
recommend me a movie and show me last note,suggest movie - last_saved_note
recommend me a movie and last note,suggest movie - last_saved_note
recommend me a movie and last saved note,suggest movie - last_saved_note
recommend me a movie and show me all notes,suggest movie - show_all_notes
recommend me a movie and preview all notes,suggest movie - show_all_notes
recommend me a movie and remove all notes,suggest movie - delete_all_notes
recommend me a movie and delete all notes,suggest movie - delete_all_notes
show me last note and show me all notes,last_saved_note - show_all_notes
show me last note and preview all notes,last_saved_note - show_all_notes
show me last note and remove all notes,last_saved_note - delete_all_notes
show me last note and delete all notes,last_saved_note - delete_all_notes
last note and show me all notes,last_saved_note - show_all_notes
last note and preview all notes,last_saved_note - show_all_notes
last note and remove all notes,last_saved_note - delete_all_notes
last note and delete all notes,last_saved_note - delete_all_notes
last saved note and show me all notes,last_saved_note - show_all_notes
last saved note and preview all notes,last_saved_note - show_all_notes
last saved note and remove all notes,last_saved_note - delete_all_notes
last saved note and delete all notes,last_saved_note - delete_all_notes
show me all notes and remove all notes,show_all_notes - delete_all_notes
show me all notes and delete all notes,show_all_notes - delete_all_notes
preview all notes and remove all notes,show_all_notes - delete_all_notes
preview all notes and delete all notes,show_all_notes - delete_all_notes
most recent alarm,next_alarm
show me next alarm,next_alarm
what is the next alarm,next_alarm
view next alarm,next_alarm
most coming alarm,next_alarm
what time is it now,show_time
can i ask you what is the time,show_time
what is the time please,show_time
can you please tell me what is the time,show_time
do you have the time,show_time
do you know what time it is,show_time
can you tell me what time it is please,show_time
what day is ,show_date
what day is it  ,show_date
whats the date ,show_date
what day is it ,show_date
what is date ,show_date
show me the date and time,show_date_time
date and time,show_date_time
what is the date and time,show_date_time
what to watch in movie,suggest movie
tell me what to watch,suggest movie
suggest a movie,suggest movie
what to watch in movie,suggest movie
tell me what to watch,suggest movie
suggest a movie,suggest movie
recommend me a movie,suggest movie
show me last note,last_saved_note
last note,last_saved_note
last saved note,last_saved_note
show me all notes,show_all_notes
preview all notes,show_all_notes
remove all notes,delete_all_notes
delete all notes,delete_all_notes
,
