nohaaa,2a5eraaan
ana 3ayza a7kelk 3la 7ewar m3ad elfara7 da,Ahhhh
3shan ashtkelk mn ebn 3amtek :),Eshtky eshtky ana sm3akiii
:),ana 3mla open air w tamam w 3amla ba2a mn zaman a2olo n3mlha elsob7
el 3asr ya3ny,Tmaaaam
w bant a7lam,Ashiak asln
ra7 2ayli mn yomen laa tab3qn t3mleh blel,allah !
Lih bs kda,enty 3amlah yom 7'ames w elnas 7trg3 mn sho3'lha w try7 w tgelk
konty 3mlteh gom3a,w howa asln ale e7'tar 7'ames 3shan sabe7 gom3a agaza
:(,fa ana msh 3arfa eh a7'er kalam asln
Yoooh,kol yom milion 7ewar
bs open air ya3ny bykon el 3asr a7la,2olilo :( howa hamo el nas w tege mrta7a
W el swr btkon gamila 3ashan f el nahar m3 el Garden w alwan el sma kda,ana 3aml el3sr lel taswee w ale 7abeb yege yetswer m3aya ahlan waslhn
ya3ny abtseh 5 isa,w elfara7 nfso yekon mn 7 keda isa
Yooooh yabnty tb bosy olelo el 3asr monaseb 7ta lw kda el nas hatsta2zen sa3a msh aktr,Tmaaam eshta gdn
7lw kda,:)
rbna ye7'leke,3o2balek ya 7bebty
:),(L)
<3,:)
<media omitted>,eh ra2yek :)
<media omitted>,Wahmyaaaaa asln msAA
rabna ye7'lekeee,<media omitted>
Allaaaah 7elwa aweee msA,:)
<media omitted>,Msa allaaaah ygnnoo
:),:)
w eh elgdid?! ma da eltb3e,Hehehhehehee
ezayek ya rimaa?,:)
shofthea 3an eslam?,wala 3and Mahmoud :D
La2 shoft 2 pix bs,:)
<media omitted>,<media omitted>
:),<media omitted>
ya sater ya rab :D,:)
3agboki bgd?,La2 sho3'l momslen da ya bet
:),:D
Gamden gdan bgd,5osartk f el adb
allah yogbor be7'atrek ya she7'a,hehehehheeee leh ya ablty da ana el en7raf kolo
:),<media omitted>
hehehehhe ahh w ana kan 3andy mo3faben wallhy bs rl zaman,sa7e7 eh akhbar amira? bt7ot sower m3 Ehab ba2a wala bt7'af mn el 7asd :D
Yala b2a zeka 3n ayamk ely fatet,Ensy b2a amira eh wlahy 5sraaan hoa f el mokarna de
:D ya bet wallhy bhayes m3aki eftkrtha lma ba2olek kan leya mo3gaben,elbent amora ya3ny ana mesh ba7s ene aksbha fe 7aga 3ady
w kaman ana asln mesh za3lana 3ala 7aga howa bs kan 3eshra :F,:D
maktbosh el ketab :D,:)
:D,btzakry?
Da3watk b2a,ya 3ene :(
rabna m3aki ya 7abebtu,Wa7shtony wlahy
men dol ya bet :F,:)
3la tol kda shaka fia,Ah m7tasa wlahyyy
moia. hena asln,mashya b3d bokra is
3aaaa tyb a3dy akml el sahra,heheheh 3amr hena :D
ba2olek ma tege n3ml 7aga bokra isa,wala busy ?
mai 7tzbt w a2olek,El sa3a kam ?
bt2olek heya most3eda bs 3ayza 7'roga gamda gedn,w 3'er e3tyadeyaa
Eshta sob7 wla lyl 3shan afkr w azbt,lel 3shan 3andily sho3'l :$
Tma 7afkr w a2olk,W 7a2ol lel bet shaza el t5ena ana m3aha now
bgd m3aha?,ento fen l7d now ya ....
??,Today 3ed meladha el mt25r
7akml lma aro7 3shan 7aso2 now,A3o3a
7at3mlo 7aga today ? If yes tell me as soon as u know 3shan ana 7atl3 3aliko mn 7ta w 7aro7 b3dko 7ta,Ana bfkr momkn nro7 msr7 el slam aw kramants nl3b
rel :d,N3m
mfesh wireless flsho3'l :D,W maktba w 7rkat
Shofy moia waslt l eh w 2olely,bt2oli mstnya shaza
:),Yala gtg 3shan bzakr lw waslto l 7aga send
<media omitted>,<media omitted>
<media omitted>,Tu7faaaa ely 3l morge7aaaa
:))) wa7ahtenee,Wnty aktaaarrr walahyyyy
3amla eh yabnty,3amla eeh ??
:,:)
Nani,enty feeen?
fe wireless?,Heya moia feen
hena hoo,Magatsh leej
Leeh,m3rfsh
Tab heya m3ndhash  bta3 men ely bntkalem 3aleh da?,3andha ahoo
7'aleha to send me ay 7aga,b3ttlk aho
Nada mtnsesh m3adna bokra isa :),awyaaaa keda
Marwa 3arfa s7?,t3ali 3ala tol ba2a :) astfrt beke 7aba 2abl ma yego kolhom
Eshta enty bt5lsy emta,yes w manar ana kalmtha 2day
w mesh bate2 a3od d2e2a wa7da zyada :D,fa 7tl3 22ra 3ala el plaza
:),:)
Ana t3bt today awe f el iti,Ana home now hanam shwaya w hagelko @5:30 isa
Isa hagy bs sorry msh ha2dar badry 3n kda,<media omitted>
ana ?!! emta?,A5er el a3da knt 7asaky meday2a
laa 3ady :),ma7moud za32li gamed..awel mara ye3li soto keda
3shan mesh sam3ny fa eday2 w 2ali etl3y fe 7eta feha shbka,kol elregala atfal :)
w howa 7s b3dm ehtmam mny,da ebny wana 3arfah :)
Monyyy,:)
Enty fy haga day2etek f el a5er ?!,Thx 4 w pic
Leeh kda !!,Eh elly day2o ya3ny ldargt eno yza3a2 ???
Ana msh asdy atda5al walahy,:)
:),Saba7 el noor :D
Omnia,Tmneny wslty ?
yes 7abebty el 7amdo leallah..enty 3amla eh? :),mandmgtsh lssa :s
leh keda :(,2al2an ana 3alek mn el 7ewar da
eh ba2a el 7war?,ma3rfsh till nw mshoftoosh 3'er yomeha
Et5an2t w olt l mama,F esta2znt baba f they told him yegy if he wants
Bs f 2al gy enhrda,Mortbka awe
Msh 3arfa atsrf ezay,Wla a2ool eh ya omnia
Mo7rga gdn,y bnty eh kol da
Msh 3arfa b2a,7'aleke 3ala tabe3tek tmamn w toz asln
el 2aal2 7ybwaz eldonya zeyadaaa,mesh 7yklek ya3ny
Aywa a3ml eh y3ny w hwaa 2a3ed,wala ay 7aga
kalmeh 3an his work,es2aleh 3an ta3yeno
w talmzto,w et3mli enk bs btstfede mn 7'ebreto
5ebrt eh maho lssa mt3yn hwa kaman :D,es2aleh nawy 3ala eh fe 7yato
ay kalam 3an 7yato,e7'wato..es7abo
hewayto,Hmmm offf b2a eh da
Tyb :(,es2aleh 3ala by7b ye2ra eh?
by3ml eh lw fady,w kol ma yegaweb 2olilo w ana kaza kaza
enty etki shewaya w howa shwaya w keda,kalmene lma yemshy momken?
aw eb3tli 3ayza atmn 3aleke ok,7tlbsi eh?
Lbst skirt jeans w body tweety,Lol
hehegee,Mashy al 7al a7l
Omnia,Shklek nyma
m3lsh ya nada wallhy dma3'y mkntsh feya,2oltelo fe3lan?
Ah,Sa7btko 3amla eh
ed3elha day3a 7'alees,:)
rbna ysbrha ya rab,3arfa ya omnia
Kalamo etghayar,Msh kan 2ayel hyod5ol interviews @ alex w if accepted we will live here ?
Da kalamo wz esraa w wz me,Da5al only 1 interview @alex ... W abl mayod5ol asln kan bytklm m3aya w kont balm7lo en baba mzrgn in general
Oltlo ha2om asebak terakkezz el sherka dy kwysa,2ally la la 3ady ana asln da5el kda ya3ny
Saktt,Then kan fy yom agaza ... W fy interview ... Ana w el nas nzlna ma5soos
"He didn't come although el company kwysa w kant 3awza Nas ,,,,","Tany yom bs2alo hwa w wa7ed zemelna tany ,,, magetooosh embare7 leh ??"
2ally ana mesh hasta7mell a3od sana kaman f Iskendrya,ana knt nawya asln aklmo monday aw tuesday
"Lma 2aaaaaal kda ,,w kan msafer w msh hayeegy tuesday oltlo",Oltlo boss ana 3wza a2ollak eny sallet w 7assa en kda ya3ny
2ally ya3ny eh,Oltlo mafeesh Naseb
"Wnta nafsak olt msh Hatesta7mell to3od sanaten f alex ,,,, wnta Ragel !! ,,,, omal ana el bent ha3mil eih ???","Haseeb ahly w so7aby w balady ely ba7baha w han2ell sho3'ly kaman ,,,"
"2ally alex malhaash mosta2bal awe fy el sho3'l ,,,, w mahma a3dt hna aw fy cairo lazm harga3 el menofya balady",OLTLO KAMAN ?
"tyb adeeeek oltaha ,,,,, i smiled","Bs 7ass eno 3akk el denya ,,,, rg3 2ally ya3ny lw a3dt f iskendrya el moshkela hatt7all ?"
"Oltlo la msh hatt7all ... Enta olt blsanak msh hatsta7mell w mserak trga3 bldak ,,, omal ana a3ml eeeeeh ? + en ana salleeet",bs kda w 5alas el kalam ...
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
eh d fe eh??,mai 3and sa7btba asln
w dawa eh da?,5leha tklmny
tab fahmny bgd,5leha bs tklmny w b3den afhmk
W matsay7esh rbna y5liki,heheh laa heya 2altli de menna ale mesh btakol
Tyb 2oltelha,mai gaya tt3'da m3ana now
enty 3rfty aaln el 7ewar da mnen,enty 3and shaza?
awya 2oltlha,w 7tshrbha 3aser w yed7ko 3aleha en mynf3sha monawem mn 3'er akl
Rbna ysbarha,Ana klmt mai 5las
Hia called ts2lny,Omnia ana m3esh credit aklm mai
2olelha lazm takol 7aga 3shan da3'taha maynzlsh,Sharboha 3aser 7ta
el sara7a ..wa7shtene :(,asli 3rfaki msh3'ola :(
:),7aba keda :))
2oli ya rab,Wlahy ya omnia ana atsdmt f concept el d
El donia,:))))
:),:)
yes lbsa ola,:)
wallhy b3d 7ewar menna da,:)
elwa7ed ekt2b 7'ales :(,rbna yesbrha bgd
Bos el wa7d momkn yt3lm 7agten mn el mot,Eno may3esh el 7aia l2nha kda kda 7at5ls w da by2lb ekt2ab
aked laa,eno ye3shan nbs ye7'af rabna aktr
:),As eny makontsh bsd2 5als nazryt el donia tlahy de
:),Ya rb
Aw eno y3esh kol la7za feha mn 3'er ma yfr2 m3ah t5ls w la tzed wla tn2s w da lel ma7zozen ka2no zohd mthlan bs zohd f ely 3ndk msh zohd f ely msh 3ndk,Wlahy rbna ysabrhom e7na momkn nt3lm l2nna b3ed lakn el fora2 da leh alm m7dsh y7s beh 3'er ely grabo
A3tkd fe3lan eno byseb fra3' m7dsh ynf3 ymlah,Bs zay ma2oltlk lw fe drs f el mawdo3 yb2a enna n2l2 a2l msh n2l2 aktr ro7na wla gena kolna lena nfs el mser w 7ta maserna el moshtrk mayt2l2sh mno
Wlahy ya omnia emana b2n rbna 3adl y5lina nsd2 enna kolna 7an5od nfs el naseb mn el de7k w nfs el naseb mn el dmo3 f msh moshkla eh bygy wra ba3do nasebna 7ana5do 7ana5do y3ni,W emana en rbna latef b3bado y5lina nsd2 en ay 7aga nt3rdlha e7na wla 3'erna 7athon w t3dy
:),7abet kalamk awe :)
3shan da nfs tafkery bzabt wallhy,ana ba2ol dyman mahma 7asl da bardo ra7ma mn rbna ba e7na btfkerna el ma7dod bngz3 w nfz3..bs rabna ra7mto was3t kol shay2..w fe3lan kolna lna nfs el 7az w rbna mesh byzlm 7ata zara
bs rabna yesbr el nas kolha bgd,w yeg3lhom yedrko 7ekmt rabna
w mydy3osh sawabhom len da e7'tbar mn rbna..wallhy ana kont odam mamt karel Allah yr7mo fl sala el set kant mazhoooola..ale gah fe bali lelah ma a3ta w lelah ma a7'az..w kolna bto3 rbna,<media omitted>
:),:((
elsh3b kolo 7ases pain asln,aw mesh kolo awe ya3nyy :D
saba7 el nor ya 2amry :)),3amla eh 7abebty
wa7shteny :)),Wenty aktaaaar bgd
embre7 blel eftkrtk w 7aset enk b wa7shany aws,:)
Walla gat enty 3rfty?,kont lisa 72olek ya rab ye3zmony :)
Mony,:)
walahy mama lssa bts2lny embare7,aked hayzbto yom 4 a visit
3wza ab2a ashufek youmeha,Isa :)
Omnia el7a2eny,3awez yklmny tany w ysebly forsa afkr l yom el 5ameeees
nada m3lsh,ana nazlt
laaa myklmkesh plz,5alas etklm
Ana f lecture nw haklmk b3d ma5allas isa,Ana waslt
nodaaa,wa7shtene :(
72k 3alya embare7 tol el yom fl sha2a,w m3rftsh aklmk
aho mashya el7amdo leallah,2reft mn kol 7aga elsra7a
enty ale 3mla eh?,w eh 7ewar enk tstany da?
Leh bs erfty mn ehh,yala el7amdo leallah
Nvm,3mla eh
:),:)
sa7 awe,kona fakren nfsna mesh mabsoten
ana nfsy ad7k mn 2alby,ana mesh fkra a7'er mara da7kt feha bgd eh
Aiwa & we will look back to where we r now & say ad eh kant ayam 7elwa hehehe,wala 7aga
"Enty msh mafrod 7atbd2y chapter gded , eh el attitude el -ve da ?",ekt2ab ekt2ab ekt2ab
m3rfsh leh,Looool looool looool
e7sas enk a7'er bnt w 7atseb elbet,:)
:),:D wala a3rf :D
:(,ana ba7eb ma7moud gedn bs aked 7'yfa
aseb kol 7aga,Bs fe ftrat kda el wa7d bybtl yfkr w ytkbl a7aseso el 5lat de hoping en el 7aia testmr w yfhm f yom mn el ayam
7'yfa ab2a 7ad tany,:D ana wala fahma 7agaaa
Bosy enty aslan 7d tany 3n omnia bta3t zman aked,lel asf :( ana ba7eb omnia bta3t zaman aktr
W b ma7moud aw mn 3'ero 7atb2y 7d talt w hakza,W kol mra 7at2oly bta3t zman a7la
:),Hia risk mo3'amra wa7d bya5odha f el gwaz el tany bya5odha f el sho3'l kol wa7d byd5ol tagroba f category shaifo ashal
:),ba f3lqn Zy ma bt2olo fen w fen elwa7ed bytbst
hehehe tab edf3y enty ba2a :D,:D
:),:)
ba2olak t3ali nro7 el cinema,ana 3ayza aro7 man in balck 3 :D
ba7eboooo aweee,bosy mai w maha hena
w mai mashya el 7ad..eh nezamk elsabt?,peace awe 72olhon
heheheeee,:)
Kont lsa ba2ol dlw2ty 7alan ad eh el 7agat ely tfr7 b2t 2olyla,Enty eh mawkfk mn el 7aia ?
3moman hoa normal en el fatra de tb2a emotional,Sebk enty eh fakrat el 7fl ?
:),:)
:),Lw mal72tnesh 3la monday 7akon 5lasthom
Momkn 3la monday kda,:)
Tyb ok,:)
Missss u more wallahy el 3azeeem,3amlaa eh
3'atsanaaa feen?,Al7mdolellah
Fy el donya,Enty eh a5baratek
el7amdo leallah :),ana shoft Walaaa
Rllyyyy,W eeeeh el a5bar tmeney
:) eftkrtk,w ba3den a2ol 7aga heya w tant yefdlo yebso le b3d
:s,:(
be7',7beby
:),lel asf :(
mn 5 w nos ba2a isa haa,Leh kda bs ?
77awl bgd,U know eny 7ab2a msafra
eeeeeeeh,ehhhhhhhhhhhh??!!!!!!
n3m!!,a7eeeeh bgd 73yat
La2 la2 ana 7agy 7ta lw a5r 10 mins,:(
Bosy ana 7safr turkey this 5ames w 7agy el 5ames 28 m3rfsh emta,Bs lma arg3 Alex 7albs w agy 3la tol
Aw 7agy mn el mtar b el jeans,eh dal lewa7dk?
Just promise that i will see u happy w mhyasa zay omnia ely btgry f el 7osh,Asdk msafra lw7dy ? No with family
etbsty enty ahm 7aga :),enty mesh enty 7'ales
Eshm3na ?,mesh mabsota enty
Ana la2 wlahy 3ady,mesh 7t7kili ba2a
:),:)
la la la ana w ma7moud mesh mqyaas,:)
:),2olely bs how r u feeling ?
:) mmmm,Ha ?
saybha 3ala rabna,bs ana b7md rbna 3ala ma7moud
7asa en fe3lan mknsh leya ene atgwez 3'ero,w howa byhwen 3alaya 7agat w bys3b 3alaya 7agat
Y3ni other than enk da5la 3la something new w missing ur life fe 7aga ?,ahh tab3an kol 7aga 7tw7shny
:),w 7'yfa ene fashla ka set bet tmamn
w regli t3bana zy ma enty 3arfa w ay maghod byt3bny gamed,bs isa rabna ye2eene
:),ana ba7eb a3od fe odty ab7l2 fls2f
w mesh ba7eb a3od m3 7ad..ana b2et bt3sb 3ala ahli games,byd7'lo fe kol tafasel 7yaty
:),:)
Bosy as for reglk f ana a3rf nas solam w ay maghod byt3bhom e7na gel 5i5a,"As for fashl u know that i talked to many of my friends kano 2rbo ytgawzo w la2et kolhom by2olo klam kda , one tells me 7asa eny 7atla2 at one point w tania t2oly 7ayb2a dmy t2el wad7 en da sh3or normal"
Bs el good side en homa kman aked by7so enhom msh 7ayb2o best husbands,Bosy m7dsh mna kann best f ay role la3bo we r not perfect daughters or perfect sisters ot perfect friends f 7ta lw msh perfect wives wad7 en da normal
:),Hehhehee
Ana kman b7b odty bs ana m7dsh ygro2 y2rb mn el 2oda,Ana b7s en f el fatra de kol el nas btet3wd 3la el we7da w bt7bha
:),Wa7ashteeeeeeeeny
3amla eh a3arooosa,:)
Hwa katb el ktab emta ya monyyy ?,7abeby
"bosy baba lisa mtf2 m3 3amo ma7amd embarr7 eno isa 7ykon yom elfara7 5,30 pm isa bzabt ..aked 7yklmokom ye2olk :)",flqa3a nfsha isa
Ahaaa isA :),:) ew3y tt27'ry plzz
IsA ya gameeel,Hat3mlooh Feen ?
Ana nset enk el dohr msh belel,Akiiiiid no isa
Hwa hayb2a yom 5ames,Hast2zen wrw7 bdry
IsA :),3agbtk tar7a wla lssa?
bs asln lisa 7angrb isa 3shan mesh ay 7aga tle2 3ala ay 7ad,:)
yes 7abeby bs enty try tege bdry isa 3shan ntswr,aslhom 3'yro elma2zom
w isa kabt elketab 7 just,agy kam olele
6 isa 3shan ntswr m3 b3d :),:)
:),3la fekra 3amo m7md kallem baba w 2alo negy @7:oo isa
Okkk ya 7abebty isa,Enty ayla l marwa w manar yego 6 brdo ?
Lw keda agy mayahom,7klmhom asln marwa btklmni bt2oli en 3andha mor2ba yomha mn 4-10 pm
Oppssss,ana 7astha 3ayzani 227'rha w a7'li elfara7 yebd2 9 msln
bs ana 2oltlha ene asln kont 3ayzah elsob7 w keda bs a7'rt 3shan elnas fa bt2oli aked ento 7tt27'ro 3ala el nas 2oltha da ana ale 7ab2a gahza isa w 7'yfa el nas tt27'r 3alya,el3ageb ba2a asln enha bts2l walaa elfara7 emta 2altha 4!!
N3m w da leh isa,amoooot w a3raf 4 de gat mnen w ma7moud asln rafed elsob7
w 2ali 7'elany w 7'alaty wrahom sho3'l,w egwaz 3amaty fa 3shan keda agelna
lkn lw katb elketab b3d elshr et2gl 3an 7 baba 7ybhdl el denya f3lan,La 7awl wla kwta ela bllah
La isa mafesh 7aga tt2aggell,ya rab bgd
hya ymkn walaa asdaha 3ashan lw hayt2a5ro ya3ny,m3rfsh bs est3'rab
F hya 2alet kda 3ashan 3la bal matego yb2a 5 aw 6,ahaaa
Hma mwa3edhom w7sha,ahh fakra el7'tobaa
gat met27'r awe asln,Aaaaah
w baba kan medy2 gedn 3shan el nas ale bt7'dm kant 3ayza tmshy w sa7'n el akal marten,:)
3ndo 7a2,w baba bgd nawy lema7moud :D :shan el mara de fe nas kbera fe 3elto mesh by2dro ye3do kter
Bs e7na gena on time sa7 ?,Hhhhhh
Ostoooooor ya rab w 3adeeeeha 3la 5eeeeer,fa mys7sh yestno w 2al le ma7moud 7ata lw enta mesh mawgod nfsk 7ktb elketab 7 isa
Hhhhhhh,rabna y3adeha 3la 5eeer yabnty
malek? enty kowyesa,Ana 3rfa el twtorr da
7asaki mesh metzabta,ah shwya kda
lisa bardo!!,3ashan klmny tany w kan fy outing iti w a3d ytklm m3aya keter
:$,7assa eny et5n2t
asln babaki mesh 7ywafe2,Bgd t3bt mn el 7war da :(
howa yet3b elsara7aaa,Awya mna a3mello eh hwa mosmm w by2oly mlkesh d3wa ana htssrf
da monofy ya nada :D,F 5alas 5aleh yetsarraf b2a w 5ally baba yorfod 3ashan a5laaaaas b2a
ok w ana mwaf2a,El mohm enty msh 3wza mny ay haga ?
:),bosy mesh 73mlha :(
m3lsh bgd mesh nafe3,leh kda
Ana 3ady bs mdy2a 3ashanek,Aked mafesh w2t sa7
7'ales bgd w ana 73ml sweet isa el talat,w el arab3 lazem a7'od rest isa
Sa77,La fakes el mhm enty msh mday2a
:),m3lsh bgd ana kaman kan nfsy :(
Rabna y3adeha 3ala 5eeer w yyasrlek el omooor ya rab,:)
:),ana ba2a can wait :D
Hhhhhhhhhhhhhh,msh 3arfa leh 7asa ana 7tl3 fe 3eltkom we7sha w 7'alas :(
Eh elly bt2oleeeh da,Leh kda
laa btklm 3ala eltasrofat,:o
Omnia bosy,Ana mssh ba7eb atklm 3n nfsy bs 3ndek mama msln
Tyba gdn w yama shafet mnhom tsorfat teeeeet,bs 3ashan hma msh by7booha
ana 7asa mn marwa en akeed kolo 7y2ol en ba2a sammt t3ml far7ha badry 3'asb,Enty by7booky f isa isa ma7dsh ydy2ek
w m2drtah,la ybnty enty ayla mn zman
W b3den mahom gom fr7 mostafa mn 4,enty 7
tab w msh by7bo tant leh de aaln to7faaaa msa w enty 3arfa ba7bha ad eh asln,bs homa la2o mostafa et27'r fa marwa bt2oli aked ento kaman 7tt27'ro
3ashan kano bytswro @ montazza  w bynoto w bta3 f etbhdlo fhmany,sebk ya bnty
bs homa nawyen yet27'ro,:s
w shkl 3amo by2ol t3alo 7 fa el naa ba2a tgele 8 w 9,bs ana elsar7a 3ayza baba yesmm ba2a
bosy bra7ethom ento olto el m3ad elly by7trm mwa3edo w by7bko bgd hayegy bdry,Aywa 7a2ekk !
ana msh 3ayza ma7moud y7s eno lwa7so,:(
La mt2l2esh hayb2a mal5oom m3 so7abo isa,W isa hma mayt2a5roosh
da by2oli en yom el 7'toba tawq3 en m7dsh 7ygelo mn ahlo,w lma la2a el nas gat far7
Yaaah bgd,sa7eee7
asln elm2Zon gay m3 7'lo 7'ames,ye3ny momken kolhom yet27'ro :s
haaaar eswd  bthzRy,La ma7oooood lazm y2kd 3alehom
!!,ana 77'li baba yeklm 3amo mo7amd
w ye2kd 3aleh,Aywa sa7
howa 7'lo 7'amea m3osh 3arbeya sa7?,Ma3ag masheoo3
2 mashroo3 wa7ed bta3o hwa w 3amo 7assan w el tany bta3 baba,rabna yshl
Isa b ezn allah la taklky,:)
la 7wl wla kwta ella bllah,Aha fhmt
Bs eshta,Confused shwya bsbb om el mwdo3 bta3 abdelghaffar da
ayyyyyy mosa3da,Wallahy hatb2y amaraya bgd isA i knw it
U r asln,Aha hya ba2et kda b2a
:),rabna ye7'leke leyaaaa ya rel bgd
rbna wa7do ale ye3lam enty eh blnesbali,Ana 7agy at night this day ady ely a5dnah mn el afra7 ely btbd2 badry w 3adat el frenga malo el sahar
Shaza 2altli 3ala elsadma :'(,:)
:),:)
:),:)
Ana maksoufa atesel khayfa la tkoune nayma,7abeby ana sa7ya etklmy tb3an
bosaaa :),:)
3ayza atklm m3aki,bs lma mama tnzl
Tyb olely awl ma tnzl aklmk,ana m3aya rsed el 7amdo lellah 7klmk
:),:))
rel..mt3rfesh turky taklf kam?,El tkalef hnak a7sbhalk w a2olk
tab de eqama w zyarat wala eh bzabt?,tl3to tb3 sherka ya rel?
El mzarat fe tickets b 10 lira w tickets b 20 y3ni lw ro7t 5ms 7agat momkn 100 lira lel frd x 2 = 200,aked
3shan el shopping,Yes tl3naa m3 sherka bs m3mlnash el program bta3hom l2no 3'aly w b le dollar
rbna yeshl,ana bs b7awel ash3'l dma3'y bay 7aga 7elwa :)
Isa enty w ma7mod tmsko ed b3d l7d ma t3do mn el azma de w ymkn tkono arbto mn b3d aktr kman,Ana dayman ba2ol rbna bystgeb ay do3a2 w talma el mawdo3 atysr lel 5ames el gay yb2a hoa da el 5er w lw atysrlko sfr l ay 7ta yb2a rbna katblko shoit enbsat ... Etc
isa bgd,bgd ma7moud yestahel
